PH,tem,elec,tur,oxy
7.3,18.7,2940.8,186.3,5.8
7.2,18.7,2857.5,159.8,5.8
7.2,18.6,2762.9,145.5,5.8
7.2,18.6,2673.8,133.9,5.8
7.2,18.6,2620.8,122.7,5.8
7.2,18.6,2595.9,128,5.7
7.2,18.6,2626,133.8,5.5
7.2,18.5,2649.9,136.4,5.4
7.2,18.5,2671.6,140.6,5.2
7.2,18.5,2694,141.9,5.1
7.2,18.4,2706.5,152.8,4.9
7.2,18.4,2745.7,164.8,4.7
7.2,18.5,2748.8,185.1,4.7
7.2,18.5,2664.2,222.7,4.7
7.2,18.6,2477.4,255.5,4.6
7.2,18.7,2347.8,299.9,4.4
7.2,18.8,2270.1,351.5,4.1
7.2,18.9,2226.2,386.8,4
7.3,18.9,2212.2,403.2,3.9
7.3,19,2218.8,388.2,3.9
7.3,19,2239.1,344.8,3.9
7.3,19,2267.8,308.9,4
7.4,19,2304.2,283.6,4.1
7.4,19,2351.8,268.6,4.2
7.4,18.9,2416.8,260.1,4.2
7.4,18.9,2474.3,249.2,4.1
7.5,18.9,2503.5,233.1,4
7.5,18.9,2487.5,211.5,3.9
7.5,18.8,2432.7,187.4,3.8
7.5,18.8,2418.1,168.4,3.7
7.5,18.7,2434.4,155.8,3.6
7.5,18.7,2438.5,148.4,3.5
7.4,18.7,2441,142.3,3.3
7.4,18.6,2453.7,127.2,3.2
7.4,18.6,2479.8,115.7,3.1
7.4,18.6,2545,107.2,3
7.4,18.6,2663.3,107.6,3
7.4,18.7,2851.6,118.9,2.9
7.5,18.8,3086.7,133.2,2.9
7.5,18.8,3270,145.1,3
7.5,18.9,3401.4,157.5,3.1
7.5,18.9,3464.9,162.1,3.2
7.5,18.9,3502.4,167,3.4
7.5,19,3649.8,170.6,3.5
7.6,19,3840.6,168.6,3.8
7.6,19,4017.5,165.3,4
7.6,19,4183.6,163.5,4.1
7.6,18.9,4236.6,156.3,4.4
7.7,18.9,4269.3,147.1,4.5
7.7,18.9,4179.9,133.5,4.7
7.7,18.9,4013.9,121.1,4.8
7.7,18.9,3766.8,107,4.9
7.7,18.8,3535.1,91.9,4.9
7.6,18.8,3200,75.4,4.9
7.6,18.7,2841.3,63,5
7.6,18.7,2485.1,53.6,5
7.6,18.7,2323.7,45.5,5.1
7.6,18.6,2119.2,37.2,5.2
7.6,18.5,1942.4,32,5.2
7.6,18.5,1992.2,31.6,5.2
7.6,18.5,2120.4,37,5.1
7.6,18.5,2317.1,48.7,5
7.6,18.6,2555.7,64.6,5
7.6,18.8,2793.5,83.2,5.1
7.6,18.9,3020,102.3,5.2
7.6,19.1,3094.2,112,5.6
7.7,19.3,3169.5,120.4,5.9
7.7,19.4,3198.9,119.9,6.3
7.7,19.5,3279.7,118.9,6.6
7.8,19.6,3397.5,120.7,6.7
7.8,19.6,3588,127.3,6.8
7.8,19.6,3763.5,131.8,6.8
7.8,19.5,3903.6,130.2,6.7
7.8,19.5,4000.3,124.3,6.5
7.8,19.4,3987.8,114,6.4
7.8,19.3,3946.6,105.1,6.3
7.8,19.3,3898,95,6.2
7.7,19.2,3817.7,86.7,6.1
7.7,19.2,3757.5,81.1,5.9
7.7,19.2,3622.8,75.1,5.8
7.7,19.2,3484.8,68.7,5.5
7.6,19.2,3314.7,64.2,5.3
7.6,19.2,3096.8,60.7,5
7.6,19.2,2838.4,56.8,4.9
7.6,19.1,2802,54,4.8
7.6,19.1,2837.7,55.6,4.8
7.6,19.1,2958.5,63.6,4.7
7.6,19.2,3070.8,72.1,4.7
7.6,19.2,3173,83,4.8
7.6,19.3,3292.2,95.8,5
7.6,19.4,3366,109.3,5.4
7.7,19.5,3451,118.3,5.8
7.7,19.7,3454.6,123.1,6.3
7.7,19.7,3473.2,127.7,6.4
7.8,19.7,3451.1,130.8,6.7
7.8,19.8,3459.9,133.2,6.9
7.8,19.8,3459.6,126.5,7
7.8,19.7,3403.2,117.9,7
7.8,19.7,3285,109.4,7
7.8,19.7,3131.4,101.9,6.8
7.8,19.7,2964.1,96,6.6
7.8,19.7,3131.4,90,6.4
7.7,19.7,3263.9,84.7,6.3
7.7,19.6,3309.4,81.2,6.1
7.7,19.6,3283.2,79.5,5.9
7.7,19.6,3250,77.6,5.6
7.7,19.5,3157.7,75.4,5.3
7.6,19.5,3218.3,74.2,5.1
7.6,19.5,3258.1,73.7,4.9
7.6,19.5,3278.1,74.1,4.8
7.6,19.6,3273.8,72.8,4.8
7.6,19.6,3254.9,69.9,5
7.6,19.7,3204.2,68.3,5.4
7.7,19.8,3171.5,69.3,5.9
7.7,19.9,3175.8,70.7,6.4
7.8,20,3190.5,74.3,7
7.8,20.1,3220.1,81.3,7.6
7.9,20.2,3323.8,92.6,7.8
7.9,20.2,3485.5,104.2,7.6
7.9,20.1,3688.8,109.7,7
7.8,20,3912.7,110.1,6.4
7.8,19.8,4139.5,107.5,5.7
7.7,19.7,4285.9,105.5,5.2
7.7,19.7,4396,103.6,5
7.7,19.7,4509.1,100.8,4.9
7.7,19.7,4557,96.3,5
7.7,19.7,4580.4,88.9,5
7.7,19.7,4590.3,83.5,5
7.7,19.8,4597.7,79.9,4.9
7.7,19.8,4591.4,76.2,4.8
7.7,19.8,4550.7,72.2,4.8
7.7,19.7,4522.7,70.5,4.6
7.7,19.7,4490.8,70.1,4.6
7.6,19.7,4454.2,70.7,4.5
7.6,19.7,4448.4,75.6,4.4
7.6,19.7,4481.2,82.9,4.3
7.6,19.8,4523,89.5,4.4
7.6,19.8,4568,93.6,4.4
7.6,19.8,4594.9,96.1,4.4
7.6,19.9,4618.7,96.4,4.5
7.7,19.9,4651.3,97.7,4.3
7.7,19.8,4696.9,100.3,4.2
7.7,19.8,4771.1,104.4,4
7.7,19.7,4857.5,107.8,4
7.7,19.7,4901.2,110.3,4
7.7,19.7,4825.4,110.1,4.2
7.7,19.7,4705.5,105.8,4.4
7.7,19.7,4466.9,94.3,4.6
7.7,19.7,4277.6,79.5,4.7
7.7,19.7,4027,65.2,4.8
7.7,19.7,3782.6,53.9,4.8
7.7,19.6,3600.8,46,4.8
7.7,19.6,3467.8,41.2,4.7
7.6,19.5,3346.4,37.2,4.8
7.6,19.4,3298.4,34,4.8
7.6,19.4,3273.8,32.7,4.9
7.6,19.4,3314.1,34,4.9
7.6,19.4,3376.8,38.5,4.8
7.6,19.4,3467.4,45.6,4.6
7.6,19.5,3596.3,56.1,4.4
7.6,19.7,3754.9,67.9,4.2
7.6,19.8,3886.4,79.5,4
7.6,19.9,3978.2,87.7,4.1
7.6,19.9,4045.7,92.1,4.3
7.6,19.9,4097.2,95.5,4.5
7.6,19.8,4165.8,98.9,4.7
7.6,19.8,4218,101.4,4.9
7.7,19.8,4263.5,103.2,5
7.7,19.8,4283,102.2,4.9
7.7,19.8,4246.1,100.4,4.8
7.7,19.7,4147.3,96.4,4.7
7.6,19.7,3995.8,86.8,4.7
7.6,19.7,3859.2,75.4,4.6
7.6,19.7,3686.8,62.8,4.5
7.6,19.7,3544.5,51.6,4.4
7.6,19.7,3411.5,42.8,4.4
7.6,19.7,3289.4,36.4,4.5
7.6,19.6,3178.1,32,4.6
7.6,19.6,3099.6,30.6,4.6
7.6,19.6,3045,31.1,4.5
7.6,19.6,3044.7,33,4.5
7.6,19.6,3069.5,36.7,4.5
7.6,19.6,3111.2,42.2,4.4
7.6,19.8,3149.5,49.6,4.3
7.6,19.9,3143.5,57.6,4.6
7.6,20,3081.7,64.8,5.3
7.7,20.1,2980.8,65.5,6.1
7.8,20.3,2966,64.9,7.1
7.8,20.5,2915,64.6,8
7.9,20.6,2869.3,63.5,8.8
8,20.6,2815.6,60.4,9.1
8,20.6,2803.3,56.4,9.2
7.9,20.5,2815.5,53.3,8.8
7.9,20.4,2825.8,52.1,8.1
7.8,20.3,2802.4,51.2,7.5
7.7,20.2,2807.6,51.1,6.9
7.7,20.1,2801.5,50,6.4
7.7,20.1,2841.8,49.4,5.9
7.6,20,3085,50.2,5.3
7.6,19.9,3310.6,51.4,4.9
7.6,19.9,3472.8,52.4,4.6
7.6,19.8,3629.7,53.3,4.4
7.6,19.8,3705.3,53.4,4.2
7.6,19.7,3653.2,51.2,4.2
7.6,19.6,3550,50.1,4.2
7.6,19.6,3498.6,50.5,4.2
7.6,19.5,3440.2,51.7,4.3
7.6,19.5,3387.3,53.3,4.4
7.6,19.5,3409,53.6,4.7
7.6,19.6,3450.2,55.8,4.8
7.6,19.6,3497.3,59.9,4.9
7.6,19.7,3540.9,63.9,5
7.7,19.7,3569.1,66.7,5.2
7.7,19.7,3584.3,69.6,5.5
7.7,19.7,3571.6,70.3,5.8
7.7,19.6,3580.6,69.6,6
7.7,19.5,3574.8,67.9,6.2
7.7,19.5,3546.8,66.4,6.2
7.7,19.4,3569.4,66.2,6.2
7.7,19.3,3565.4,65.7,6
7.7,19.2,3605.8,64.5,5.8
7.7,19.2,3654.3,63.2,5.4
7.7,19.1,3664.4,60.4,5
7.6,19.1,3579.6,55.3,4.6
7.6,19,3436.5,47.7,4.3
7.6,19,3192.8,38.7,4.1
7.5,19,2910.2,32.1,3.9
7.5,18.9,2682.7,29.3,3.9
7.5,18.9,2548,30.5,3.8
7.5,18.9,2491.7,34.6,3.8
7.5,18.9,2484.5,42.6,3.9
7.5,19,2515.2,54.7,3.9
7.5,19.1,2555.3,69,4
7.5,19.3,2579.1,88.1,4.1
7.5,19.4,2548.9,112.1,4.2
7.5,19.5,2469.9,128.7,4.4
7.6,19.6,2565.7,135,4.5
7.6,19.7,2687.6,131.7,4.6
7.6,19.7,2810.8,123.9,4.6
7.6,19.6,2955.5,116.8,4.4
7.5,19.5,3089.6,110.5,4.2
7.5,19.4,3174.5,104.6,4
7.5,19.3,3206.3,100.8,3.9
7.5,19.2,3204.2,97.1,3.8
7.5,19.1,3261.6,93.4,3.6
7.5,19.1,3300.8,89.2,3.5
7.5,19,3299.8,84,3.5
7.5,18.9,3252.3,78,3.5
7.5,18.9,3209.3,70.8,3.5
7.5,18.9,3231.7,63.3,3.4
7.5,19,3325.3,60.6,3.2
7.5,19,3421.1,60.9,3.1
7.5,19,3530.7,62.5,3
7.5,18.9,3608.9,67.5,3.1
7.5,19,3747.1,79.4,3.1
7.5,19,3868.2,95.7,3.3
7.6,18.9,3948.7,113.1,3.6
7.6,18.9,3971.7,120.4,3.9
7.6,19,3991.7,119.6,4.2
7.6,19,4062.6,118.2,4.4
7.6,19.1,4112.1,113.4,4.5
7.6,19.1,4137.9,106.4,4.6
7.6,19.2,4126,99.9,4.7
7.6,19.2,4100.6,96.1,4.7
7.6,19.2,4091.9,93.6,4.6
7.6,19.2,4069.3,90.6,4.5
7.6,19.1,4060.8,88.4,4.4
7.6,19.1,4093.4,85.8,4.3
7.6,19,4088.4,82.8,4.2
7.6,19,4022.1,78.6,4.1
7.6,18.9,3878.2,73.7,4
7.5,18.8,3764.6,68.4,3.8
7.5,18.8,3653.2,63.9,3.7
7.5,18.7,3559.5,58.5,3.5
7.5,18.7,3485.1,54.7,3.5
7.5,18.6,3364.6,51.4,3.6
7.5,18.5,3200.8,48.6,3.8
7.5,18.4,3007.1,45,4.3
7.5,18.4,2806.9,40.9,4.8
7.5,18.4,2627.7,38.9,5.2
7.5,18.5,2531.9,39.1,5.5
7.5,18.6,2596.2,41.2,5.6
7.6,18.6,2658,42.8,5.8
7.6,18.7,2785.1,44.3,5.8
7.6,18.8,2925.9,46.3,5.8
7.6,18.8,3101.3,50.1,5.6
7.6,18.8,3280.1,55.8,5.5
7.6,18.8,3482.6,63.2,5.5
7.6,18.8,3673.3,70.6,5.4
7.6,18.9,3803.5,75.4,5.4
7.6,18.9,3827,77.1,5.2
7.6,18.9,3868.3,76.9,5
7.5,18.8,3822.1,74.6,4.8
7.5,18.8,3656.3,69.6,4.5
7.5,18.7,3438.4,63.9,4.4
7.5,18.7,3239,58.9,4.4
7.5,18.6,3018.2,54.5,4.4
7.5,18.6,2811.8,50.5,4.6
7.5,18.6,2635.3,46.9,4.7
7.5,18.6,2494.9,44.5,4.7
7.4,18.6,2328.1,42.7,4.7
7.4,18.6,2135.3,41.4,4.8
7.4,18.6,1884.6,40.7,4.9
7.5,18.7,1773.2,41.8,5.1
7.5,18.8,1915.8,45,5.2
7.5,18.9,2109.2,49.2,5.2
7.5,19,2240.8,53.4,5.1
7.4,19.1,2309,58.4,5
7.4,19.1,2407.3,65.4,4.8
7.4,19,2760.7,72.8,4.5
7.4,19,3131.1,79.3,4.3
7.4,19,3445.3,84.3,4
7.5,18.9,3619.8,85.9,3.8
7.5,18.9,3670.6,84.6,3.7
7.5,18.9,3638.5,83.5,3.6
7.5,18.9,3734.6,82,3.6
7.5,18.9,3742.9,79.8,3.7
7.5,18.9,3744.1,76.4,3.9
7.5,18.9,3651.9,71.3,4
7.4,18.9,3553.2,68.4,4
7.4,18.9,3542.9,66.6,3.9
7.4,18.9,3526,65,3.9
7.4,18.9,3590.1,63.9,3.8
7.4,18.9,3618.4,63.7,3.7
7.4,18.8,3791.2,64.1,3.6
7.4,18.8,3887.4,64.5,3.6
7.4,18.7,3910.3,64.3,3.7
7.4,18.7,3945.5,64,3.8
7.4,18.7,3974.7,63.1,4.1
7.4,18.7,3983.5,62.6,4.4
7.4,18.8,3962.6,62.2,4.7
7.4,18.8,3923.9,62.9,5
7.5,18.9,3931.8,65.5,5.1
7.5,18.9,3918.1,68.1,5.2
7.5,18.9,3926.8,70.4,5.3
7.5,18.9,3918.8,69.8,5.3
7.4,18.8,3940.4,67.6,5.3
7.4,18.8,3918.1,62.5,5.4
7.4,18.7,3834.6,56.3,5.4
7.4,18.6,3734.6,50.7,5.5
7.4,18.5,3616.9,46.2,5.5
7.4,18.4,3502.9,43.8,5.5
7.4,18.3,3380.4,42.8,5.5
7.4,18.2,3331.5,42.9,5.3
7.4,18.1,3293.8,45.3,5.1
7.4,18,3273.9,50.2,4.8
7.4,18,3246.7,55.9,4.6
7.4,17.9,3250.5,59.3,4.3
7.4,17.8,3282,62.9,4.2
7.4,17.8,3326.9,67.8,4
7.4,17.8,3368.7,71.5,4
7.4,17.9,3457.4,69.5,4.1
7.4,18.1,3609.1,65.1,4.2
7.4,18.3,3743.1,59.6,4.4
7.4,18.5,3832.2,53.8,4.4
7.4,18.6,3869,48.7,4.4
7.3,18.6,3858.2,44.9,4.2
7.3,18.6,3814.2,42.2,4
7.3,18.6,3758.5,41.1,3.8
7.3,18.5,3704,41.4,3.6
7.3,18.4,3734.2,41.8,3.5
7.3,18.3,3766.6,42.3,3.5
7.3,18.2,3780.5,42.4,3.6
7.3,18.1,3773,42.5,3.7
7.3,18.1,3753.1,42.5,3.8
7.3,18,3759.1,42.3,4
7.3,18,3757.7,41.7,4.3
7.3,18,3743.7,41.1,4.5
7.3,17.9,3743,39.6,4.6
7.3,17.9,3739.8,38.2,4.5
7.3,17.8,3722.4,37.1,4.3
7.3,17.7,3695.1,36,4.3
7.3,17.6,3653.2,34.9,4.2
7.3,17.6,3580.5,33.4,4.3
7.3,17.7,3479.3,32.1,4.5
7.3,17.8,3355.9,31,4.8
7.3,17.9,3321.1,30.6,5
7.3,18,3339.4,30.2,5.2
7.3,18.2,3369,30.2,5.5
7.3,18.3,3382.2,30.7,5.8
7.3,18.3,3448.6,32.2,6
7.3,18.4,3518.6,33.7,5.8
7.3,18.3,3587.6,34.5,5.2
7.3,18.2,3674.1,36,4.6
7.3,18.2,3785.2,38.4,4
7.3,18.1,3871.1,41.4,3.6
7.3,18.1,3924.9,44.9,3.4
7.3,18.1,3940.1,48.3,3.4
7.3,18,3890.6,51.2,3.5
7.3,18,3784.7,53.2,3.8
7.3,17.9,3673.3,52.7,3.9
7.3,17.8,3634.4,50.3,3.8
7.3,17.8,3676.1,46.7,3.6
7.3,17.8,3762.9,43.8,3.4
7.3,17.7,3765.1,41,3.2
7.3,17.5,3703.8,38.4,3.2
7.3,17.4,3681.5,36.4,3.3
7.3,17.4,3706.4,35.4,3.4
7.3,17.4,3718,35,3.5
7.3,17.4,3736.2,35.5,3.6
7.3,17.5,3764.6,36.5,3.5
7.3,17.6,3802.9,38.1,3.6
7.3,17.7,3850.4,40,3.7
7.3,17.8,3880.8,43.3,4
7.3,17.9,3918.1,48,4.4
7.4,18,4060.7,54.1,4.8
7.4,18.1,4220.8,59.6,5.2
7.5,18.1,4354.5,63.6,5.5
7.5,18.1,4455.4,65.7,5.4
7.5,18,4501.7,66.1,5.2
7.5,18,4536.4,64.5,4.9
7.5,18,4527.7,61.2,4.8
7.5,17.9,4504.6,56.6,4.7
7.5,17.9,4499.9,52.3,4.5
7.5,17.9,4536.3,50.7,4.2
7.5,17.9,4558,48.6,4
7.5,17.8,4583.6,45.9,3.9
7.4,17.8,4622.9,43.2,3.7
7.5,17.8,4619.4,40.9,3.7
7.5,17.7,4569.9,39,3.8
7.5,17.6,4483.9,38.1,4.1
7.5,17.5,4377.4,38.2,4.5
7.5,17.5,4289.1,39.4,4.9
7.5,17.6,4246.9,41.6,5.2
7.6,17.7,4236.7,43.3,5.5
7.6,17.9,4242.2,44.7,6
7.7,18.1,4240,44.9,6.9
7.8,18.3,4236.2,44,7.8
7.9,18.5,4231.7,42.5,8.4
7.9,18.5,4249.8,41.2,8.4
7.9,18.5,4276.1,41.3,8.3
7.9,18.5,4287.9,43.6,8.3
7.9,18.5,4279.3,46.6,8.2
7.9,18.5,4244.2,50.6,8.1
7.9,18.6,4159.2,55.5,8
7.8,18.7,4018.6,58.9,7.6
7.8,18.7,3802.1,58.4,7.1
7.7,18.6,3511.9,52.4,6.5
7.7,18.5,3183.8,44.3,6.2
7.6,18.4,2958.8,39.1,5.9
7.6,18.3,2851.5,37.1,5.7
7.5,18.3,2836.2,36.4,5.4
7.5,18.2,2841.4,35.8,5.1
7.5,18.1,2833.6,34.7,4.9
7.5,18,2825.1,33.4,4.8
7.5,18,2857.8,33.3,4.7
7.5,18,2927.4,34.5,4.7
7.5,18.1,3028.7,37.7,4.6
7.5,18.2,3144.1,42.1,4.5
7.5,18.3,3262.8,47.5,4.4
7.5,18.5,3373.5,53.7,4.3
7.5,18.6,3465.3,60.4,4.3
7.5,18.6,3512.2,68.5,4.3
7.5,18.7,3519.8,75.7,4.4
7.5,18.6,3529.3,78.2,4.4
7.5,18.6,3549.4,77.3,4.3
7.5,18.5,3548.2,75.4,4.4
7.5,18.3,3530.2,71.9,4.4
7.5,18.2,3499.8,68.1,4.5
7.5,18.1,3463.9,64.7,4.6
7.6,18,3427.9,62,4.7
7.6,17.9,3416.1,59.5,4.8
7.6,17.9,3442.9,56.8,4.8
7.5,17.8,3525.8,53.8,4.9
7.5,17.8,3658.5,50.9,4.9
7.5,17.8,3745.7,47.9,4.9
7.5,17.6,3750,45.8,4.9
7.5,17.5,3717.3,45.1,4.9
7.5,17.3,3665.7,45.7,4.9
7.5,17.3,3625.2,47,4.9
7.5,17.2,3619.2,48.5,4.9
7.5,17.3,3647.9,50.4,4.9
7.5,17.3,3711.1,53,5
7.5,17.5,3793.1,55.8,5
7.5,17.6,3885.5,58.6,5.1
7.6,17.7,3979.9,61.3,5.1
7.6,17.8,4067.9,63.5,5.1
7.6,17.9,4124.9,64.8,5.2
7.6,17.9,4181.4,65,5
7.6,17.9,4248.8,65.8,4.7
7.6,17.9,4291.4,66.5,4.5
7.6,17.8,4298.9,67.2,4.4
7.6,17.8,4252.5,67.9,4.5
7.6,17.7,4168.6,66.9,4.7
7.6,17.6,4051.2,65.5,4.8
7.6,17.5,3926.6,65.1,4.9
7.6,17.4,3786.5,65.1,5.1
7.6,17.3,3581,65.2,5.3
7.6,17.1,3399.1,65.9,5.4
7.6,17,3141.8,68,5.6
7.6,16.9,2924.4,68.9,5.7
7.6,16.9,2741.1,68.5,5.8
7.6,16.9,2605.8,67,5.8
7.6,16.9,2507.1,65,5.9
7.6,17,2443.8,62.8,5.9
7.6,17,2415,60.6,5.9
7.6,17.1,2421.1,59.5,5.8
7.5,17.2,2454.8,58.8,5.7
7.5,17.2,2511.5,58.4,5.5
7.5,17.3,2586.7,58.2,5.3
7.5,17.3,2675.7,58.1,5.2
7.5,17.4,2774,58,5.1
7.5,17.4,2877,57.7,5
7.5,17.5,2981.7,56.9,5
7.5,17.5,3070.7,56.1,5.2
7.5,17.5,3176.2,54.7,5.2
7.5,17.5,3265.2,52.8,5.4
7.6,17.5,3311.8,50.1,5.7
7.6,17.5,3310.9,46.5,5.8
7.6,17.4,3269.4,43.8,5.8
7.6,17.2,3200.9,40.9,5.8
7.6,17.1,3114.6,38.1,5.8
7.6,17,3030.6,36.3,5.8
7.6,16.9,2949.5,35.8,5.9
7.6,16.9,2863.4,36.2,6
7.6,16.9,2785.8,37.6,6
7.6,16.9,2705.6,38.9,6.1
7.6,17,2630.3,41.1,6.2
7.6,17.1,2597.4,42.9,6.3
7.6,17.1,2621.4,43.9,6.1
7.5,17.2,2707.9,44.7,5.7
7.5,17.2,2810.9,46.5,5.3
7.5,17.3,2912.6,46.7,4.9
7.5,17.4,3023.7,46.6,4.6
7.5,17.5,3143.2,46.3,4.4
7.5,17.5,3270,46,4.2
7.5,17.6,3402.9,46,4.1
7.5,17.6,3556.1,46.2,4
